2024-10-18 21:00:31.507 MSK [6288] СООБЩЕНИЕ:  система БД была выключена: 2024-10-18 19:43:25 MSK
2024-10-18 21:05:31.505 MSK [6264] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-18 21:05:31.530 MSK [6264] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.009 сек., синхр.=0.004 сек., всего=0.031 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.003 сек., средняя=0.002 сек.; расстояние=0 kB, ожидалось=0 kB; lsn=0/159DFA8, lsn redo=0/159DF50
2024-10-18 21:20:31.544 MSK [6264] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-18 21:20:31.881 MSK [6264] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.327 сек., синхр.=0.003 сек., всего=0.338 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.002 сек., средняя=0.001 сек.; расстояние=0 kB, ожидалось=0 kB; lsn=0/159E218, lsn redo=0/159E1C0
2024-10-18 21:27:32.360 MSK [6584] Р’РђР–РќРћ:  Р·Р°РєСЂС‹С‚РёРµ РїРѕРґРєР»СЋС‡РµРЅРёСЏ РїРѕ РєРѕРјР°РЅРґРµ Р°РґРјРёРЅРёСЃС‚СЂР°С‚РѕСЂР°
2024-10-18 21:27:32.360 MSK [10400] Р’РђР–РќРћ:  Р·Р°РєСЂС‹С‚РёРµ РїРѕРґРєР»СЋС‡РµРЅРёСЏ РїРѕ РєРѕРјР°РЅРґРµ Р°РґРјРёРЅРёСЃС‚СЂР°С‚РѕСЂР°
2024-10-18 21:27:32.365 MSK [8768] Р’РђР–РќРћ:  Р·Р°РєСЂС‹С‚РёРµ РїРѕРґРєР»СЋС‡РµРЅРёСЏ РїРѕ РєРѕРјР°РЅРґРµ Р°РґРјРёРЅРёСЃС‚СЂР°С‚РѕСЂР°
2024-10-18 21:27:32.396 MSK [8984] Р’РђР–РќРћ:  РїСЂРµРєСЂР°С‰РµРЅРёРµ РїСЂРѕС†РµСЃСЃР° Р°РІС‚РѕРѕС‡РёСЃС‚РєРё РїРѕ РєРѕРјР°РЅРґРµ Р°РґРјРёРЅРёСЃС‚СЂР°С‚РѕСЂР°
2024-10-18 21:27:32.399 MSK [6264] СООБЩЕНИЕ:  выключение
2024-10-18 21:27:32.400 MSK [6264] СООБЩЕНИЕ:  начата контрольная точка: shutdown immediate
2024-10-18 21:27:32.405 MSK [6264] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 0 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.001 сек., синхр.=0.001 сек., всего=0.006 сек.; синхронизировано_файлов=0, самая_долгая_синхр.=0.000 сек., средняя=0.000 сек.; расстояние=0 kB, ожидалось=0 kB; lsn=0/159E2C8, lsn redo=0/159E2C8
